Material,Thickness (mm),Precut dimensions (diameter/ side length) mm,Precut Shape (circle/ square/etc),Total Strain/ Elongation (%),UTS (MPa),YS (MPa),Strength Coefficient (k in MPa),Strain hardening coefficient (n),Anisotropic (R Value),Is lubricant used?,Feed rate (mm/min),Tool speed (rpm),Step depth(mm),No of stages,HER,Flange Height (mm),Roughness (µm),"Minimum thickness (after final stage, mm)","Final angle after the final stage, degrees"
304 stainless steel,0.5,4.5,Circle,15,550,205,1275,0.193,1,0,,,1,3,2.22,4.58,,0.345,90
AA7075-O,1.6,64.5,Circle,17,228,109.7,314,0.13,,1, 1000 mm/min,1000 rpm clockwise,0.2,2,0.485,,,1.2 mm,
AA1060,1,80,Circle,19,460,324,149,0.2,0.65,0,70 mm/min,,1,4,, 35 mm,,,90° 
AA5052-H32,1.5,47,Square,14.6,271.8,197.38,410,0.13,0.7,1, 1000 mm/min,1000 rpm,0.2,1,1.2,,0.269 µm,1.305 mm ,90° 
AA5052,1.5,45,Square,14.6,271.8,197.38,410,0.13,0.7,1, 1000 mm/min,0 rpm,0.2,1,1.26,,0.215 µm ,1.305 mm ,90° 
AA5052,1.5,44,Square,14.6,271.8,197.38,410,0.13,0.7,1, 1000 mm/min,0 rpm,0.2,1,1.35,,0.215 µm ,1.305 mm ,90° 
AA1050-H111,1,50,Circle,2.55,115,81.9,132.95,0.07,0.84,0,,,0.5 mm/cycle ,1,1.56,13.43,,0.84, 78.77°
AA1050-H111,1,140,Square,6.8,120.5,119.9,140,0.04,0.84,1,1000,,0.2,6,0.214,,,0.39,90° 
DDQ steel,1,35.4,Circle,11.8,320,188,520,0.2,1.18,0,,,1,,,10,,,
DDQ steel,1,45,Circle,30.75,327.2,206,519,0.176,1.18,1,,250,0.5,4,,,,0.34,80
DDQ steel,1,50,Circle,30.75,327.2,206,519,0.176,1.18,1,,250,0.5,4,2.06,50,,0.38,90
DDQ steel,1,60,Circle,30.75,327.2,206,519,0.176,1.18,1,,250,0.5,4,1.73,34,0.65,0.54,90
DDQ steel,1,70,Circle,30.75,327.2,206,519,0.176,1.18,1,,250,0.5,4,1.51,22,,0.72,90
DDQ steel,0.3,35.4,Circle,57,320,236,520,0.2,1.18,0,,,1,,,10,,,
 AA1060,1,55,Circle,20,112,56,168,0.134,0.65,1,800,600,0.1,1,1.38,31,,,75
DC01 ,1,55,Circle,28,315,179,610,0.25,1.6,1,800,600,0.1,1,1.38,31,,,75
DC05 steel,1.2,14.04,Circle,41,300,160,500,0.23,1.9,1,6000,80,1,1,5.7,28,,0.45,
2205 DualPhase Steel,2,30,Circle,25,521,218,800,0.15,0.9,1,,75,0.5,1,1.67,13.75,,1.33,90
AA7075-O (SPIF Single-Stage),1.6,61,Circle,16,214,109.5,400,0.17,0.85,0,1000,0,0.2,1,1.55,0.416,,0.8,
AA7075-O (SPIF Single-Stage),1.6,65,Circle,16,214,109.5,400,0.17,0.85,0,,,0.2,1,1.47,,,,
AA7075-O (SPIF Single-Stage),1.6,58,Circle,16,214,109.5,400,0.17,0.85,0,,,0.2,1,1.65,,,,
Al 1050A,1,20,Circle,35,105,90,140,0.2,0.6,0,400,50,2,1,1.9,7.43,,,
Al 1050A,1,20,Circle,35,105,90,140,0.2,0.6,0,700,50,2,1,1.9,7.43,,,
Copper,1,22,Circle,45,220,69,350,0.45,0.9,0,100,100,0.5,1,1.5,,,,
Copper,1,22,Circle,45,220,69,350,0.45,0.9,0,200,300,1,1,1.5,,,,
AA7075-O,1.6,58,Circle,17,214,109.5,300,0.12,0.85,1,1000,0,0.2,1,1.62,27,,,
AA6061-T6,1,43,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,1000,0,0.5,1,1.39,,0.82,,90
AA6061-T7,1,46,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,1000,0,0.5,1,1.3,,0.86,,90
AA6061-T8,1,44,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,1000,0,0.5,1,1.36,,0.86,,90
"DC01	",0.7,20,Circle,28,416.91,356,610,0.25,1.6,0,,350,,1,,12.5,100,0.455,72
"DC01	",1,20,Circle,28,485.07,427,610,0.25,1.6,0,,525,,1,,15.2,100,0.6,90
AA1050,0.7,20,Circle,30,156.42,25,140,0.2,0.6,0,,350,,1,,13.5,100,0.427,45
AA1050,1,20,Circle,30,180,50,140,0.2,0.6,0,,170,,1,,16.5,100,0.49,72
AA7075-0,1.6,58,Circle,16,228,103,400,0.17,0.85,1,1000,,0.2,1,1.65,,,,
AA7075-1,1.6,55,Circle,16,228,103,400,0.17,0.85,1,1000,,0.2,1,1.72,,,,
AA7075-2,1.6,61,Circle,16,228,103,400,0.17,0.85,1,,,,1,1.57,,,,
Al1060,1,35,Circle,20,153.6,95,170,0.198,0.65,1,600,500,1,1,1.429,9.29,,0.7843,32
Aluminum Alloy,2,6,Circle,15,118,65,180,0.61,0.7,0,5,0,,1,,5.3,,1.25,90
Al 1050,1.5,34,Circle,35,110,85,145,0.22,0.6,1,2100,0,0.5,1,1.706,14,1.22,1.05,90
Al 1051,1.5,34,Circle,35,110,85,145,0.22,0.6,1,900,0,0.5,1,1.706,14,1.229,0.95,90
Al 6061,1,15,Circle,13.5,188,188,410,0.5,0.6,1,15,0,0.25,2,3.4,,,,
AISI 304,0.27,15,Circle,54.5,236,236,1275,1.18,1,1,300,0,0.25,2,3.1,,,,
DD Steel,1,70,Circle,30.75,327.2,206,519,0.176,1.18,1,1000,0,0.5,4,1.4,20,0.967,0.65,90
DD Steel (Failure Case),1,40,Circle,30.75,327.2,206,519,0.176,1.18,1,1000,0,0.5,4,1.475,40,1.05,0.2,80
Al1060,1,44,Circle,20,153.6,95,170,0.198,0.65,0,,,,3,1.364,10.55,,0.67,90
AA7075-O,1.6,63.5,Circle,43,255,195,400,0.8125,0.85,1,12000,0,0.2,1,1.44,18,,,
AA1060,1,80,Circle,19,470,324,149,0.2,0.65,1,4200,0,1,4,1.44,35,,0.44,90
dual phase steel,1,20,Circle,24.01,631.85,349.93,1000,0.16,0.9,1,1100,200,0.5,1,,,,0.35,90
Ti-6Al-4V,1,20,Circle,24.01,631.85,349.93,1100,0.16,3,1,1100,200,0.5,2,,,,0.4184,90
AA5052 aluminium alloy,1,10,Circle,13,272.5,243.4,320,0.151,0.7,0,654,1931,0.65,1,,,,,
,1,15,Circle,13,272.5,243.4,320,0.151,,0,654,1931,0.65,1,,,,,
,1,20,Circle,13,272.5,243.4,320,0.151,,0,654,1931,0.65,1,1.41225,,,,
AA1060 aluminium alloy,1,75,Circle,20,112,56,168,0.134,0.65,1,400,600,0.05,,,,,0.3937,74.25
AA1060 aluminium alloy,1,75,Circle,20,315,179,610,0.25,0.65,1,400,600,0.05,,,,,0.4691,74.625
AA6061- T6 aluminium,1,43,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,1000,0,0.5,1,1.39,,,,90
AA6061- T6 aluminium,1,45,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,1000,0,0.5,1,1.33,,,,90
AA6061- T6 aluminium,1,46,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,1000,0,0.5,1,1.3,,,,90
AA6061- T6 aluminium,1,46,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,1000,0,0.5,2,1.3,,,,90
AA6061- T6 aluminium,1,46,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,1000,0,0.5,3,1.3,,,,90
AA6061- T6 aluminium,1,45,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,1000,0,0.5,4,1.33,,,,90
AA6061- T6 aluminium,1,44,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,1000,0,0.5,5,1.36,,,,90
AA7075-O aluminium,1.6,56,Circle,16.5,230,105,610,0.21,0.9,1,1000,0,0.2,1,,,,,
,1.6,58,Circle,16.5,230,105,610,0.21,0.9,1,1000,0,0.2,1,1.62,27,,,
AA6061- T6 aluminium,1,42,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,10,0,,1,1.43,,,,
AA6061- T6 aluminium,1,46,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,10,0,,1,1.3,9.23,,0.872,85.9
,1,46,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,1000,0,0.5,1,1.3,9.65,,0.862,81.4
AA5052-H32 aluminium,1.5,48,square,14.36,263.92,196.17,472,0.12,0.7,1,1000,0,0.2,1,,6.16,0.215,,
,1.5,48,square,14.36,263.92,196.17,472,0.12,0.7,1,1000,1000,0.2,1,,6.24,0.269,,
,1.5,48,square,14.36,263.92,196.17,472,0.12,0.7,1,1000,1000,0.2,1,,6.36,0.338,,
,0.8,27,Circle,26,195.3,114.5,347.56,0.23,0.75,1,500,0,,1,1.48,,,,90
,0.8,10,Circle,26,195.3,114.5,347.56,0.23,0.75,1,1500,6000,,1,4,,,,90
,0.8,12,Circle,26,195.3,114.5,347.56,0.23,0.75,1,1500,6000,,1,3.3,16.9,,,90
,1.5,45,square,14.36,263.92,196.17,327.63,0.143,0.626,1,1000,0,0.2,1,1.26,,0.215,,90
,1.5,47,square,14.36,263.92,196.17,327.63,0.143,0.626,1,1000,1000,0.2,1,1.2,,0.269,,90
,1.5,44,square,14.36,263.92,196.17,327.63,0.143,0.626,1,1000,0,0.2,1,1.35,,0.215,,90
,1.5,44,square,14.36,263.92,196.17,327.63,0.143,0.626,1,1000,0,0.2,1,1.26,,0.215,0.47,<90
EN AW-6181-T1,0.8,27,circle,24,353.8,165,506.2,0.23,0.5,1,500,0,,1,1.48,8.3,,,90
EN AW-6181-T1,0.8,27,circle,24,353.8,165,506.2,0.23,0.5,1,500,0,,3,1.48,8.5,,,90
EN AW-6181-T1,0.8,26,circle,24,353.8,165,506.2,0.23,0.5,1,4000,0,0.5,4,1.54,7.8,,,90
EN AW-6181-T1,0.8,25,circle,24,353.8,165,506.2,0.23,0.5,1,4000,2000,0.5,4,1.6,8.35,,,90
EN AW-6181-T1,0.8,23,circle,24,353.8,165,506.2,0.23,0.5,1,4000,0,0.5,4,1.74,8.8,,,90
EN AW-6181-T1,0.8,20,circle,24,353.8,165,506.2,0.23,0.5,1,4000,2000,0.5,4,2,9.95,,,90
EN AW-6181-T1,0.8,25,circle,24,353.8,165,506.2,0.23,0.5,1,4000,0,0.5,4,1.6,8.2,,,90
EN AW-6181-T1,0.8,12.1,circle,24,353.8,165,506.2,0.23,0.5,1,1000,6000,,4,3.3,16.1,,0.288,90
AA7075-0,1.6,57.5,circle,16,214,109.5,355.47,0.2225,0.85,1,1000,0,0.2,1,1.65,26.8,0.34,0.608,90
AA7075-0,1.6,61,circle,16,214,109.5,355.47,0.2225,0.85,1,1000,0,0.2,1,1.55,24.8,0.34,0.608,90
AA7075-0,1.6,64.5,circle,16,214,109.5,355.47,0.2225,0.85,1,1000,0,0.2,1,1.46,23.6,0.34,0.608,90
AA7075-0,1.6,57,circle,16,214,109.5,355.47,0.2225,0.85,1,1000,1000,0.2,1,1.66,26.6,0.17,0.752,90
AA7075-0,1.6,60,circle,16,214,109.5,355.47,0.2225,0.85,1,1000,1000,0.2,1,1.58,26.4,0.17,0.752,90
AA7075-0,1.6,64.5,circle,16,214,109.5,355.47,0.2225,0.85,1,1000,1000,0.2,1,1.46,22.3,0.17,0.752,90
AA7075-0,1.6,56,circle,16,214,109.5,355.47,0.2225,0.85,1,1000,0,0.2,1,1.65,,0.34,,<90
,1,50,Circle,5.54,115,81.9,132.95,0.07,,0,,,0.5,1,1.56,13.43,,0.84,78.77
AA1060 aluminium alloy,1,55,Circle,20,112,56,168,0.134,0.65,1,800,600,0.1,1,1.38,31,,,
AA1060 aluminium alloy,1,75,Circle,20,112,56,168,0.134,0.65,1,800,600,0.1,1,1.2,15,,,
AA1060 aluminium alloy,1,55,Circle,20,315,179,610,0.25,0.65,1,800,600,0.1,1,1.38,31,,,
AA1060 aluminium alloy,1,75,Circle,20,315,179,610,0.25,0.65,1,800,600,0.1,1,1.2,15,,,
steel sheet,1,40,Circle,30.75,327.2,206,519,0.176,1.18,1,1000,,0.5,4,1.475,40,,0.2,80
steel sheet,1,70,Circle,30.75,327.2,206,519,0.176,1.18,1,1000,,0.5,4,1.4,,0.967,,90
7075-O aluminum alloy,1,15,Circle,22,228,188,400,0.5,0.85,1,,1,0,2,3.4,,,,
7075-O aluminum alloy,0.27,15,Circle,40,228,236,400,1.18,0.85,1,,1,0,2,3.1,,,,
AA6061-T6 aluminum alloy,1,38,Circle,12,356.74,302.45,461.7,0.12,0.77,1,1000,0,0.5,1,,,,0.61,70
AA1060 aluminium alloy,1,55,Circle,20,112,56,168,0.134,0.65,1,400,600,0.05,1,,,,0.4269,
AA1060 aluminium alloy,1,75,Circle,20,315,179,610,0.25,0.65,1,400,600,0.05,1,,,,0.9031,
AA5052 aluminium alloy,1,20,Circle,13,272.5,243.4,320,0.151,0.7,0,,,0.65,1,1.41225,,,,
AA7075-O Aluminium alloy,1.6,65,Circle,17,228,103,400,0.851,0.85,1,,,0.2,1,1.44,18,,,
Aluminium 5052 sheets,1.5,44,Square,14.36,263.92,196.17,410,0.13,0.7,0,1000,0,0.2,1,1.27,,,0.638,90
AA5052-H32 Aluminium,1.5,45,Square,14.36,263.92,196.17,410,0.13,0.7,1,1000,0,0.2,1,1.26,,0.215,,90
AA1050-H111 Aluminium,1,136,Square,6.8,120.5,119.9,140,0.04,0.84,1,1000,0,0.2,6,1.25,,,,90
AA1060 aluminium alloy,1,120,Circular,10,120.9,119.9,140,0.04,0.65,1,1000,0,0.2,6,1.33,,,,90
AA1060 aluminium alloy,1,40,Circular,20,300,100,170,0.2,0.65,1,2000,0,0.1,1,,16,,0.58,90
AA1060 aluminium alloy,1,40,Circular,20,300,100,170,0.2,0.65,1,2000,0,,1,,12,,0.8,90
AA1050 Aluminium,1,50,circle,5.54,81.9,132.95,140,0.07,0.6,0,,,0.5,1,1.56,13.43,,0.84,78.77
aluminium 5052-H32 sheet,1.5,48,square,14.38,265.17,196.45,410,0.13,0.7,1,1000,1000,0.2,1,,6.36,0.338,,
Dual-Phase Steel,2,30,circle,16,521,218,950,0.16,0.9,1,,75 rpm,0.5 mm,1,1.67,13.75,1.33,,
DDQ Steel,1,45,Circle,30.75,327.2,206,519,0.176,1.18,1,,250,0.5,4,1.46,44.5,0.65,0.34,70
DDQ Steel,1,50,Circle,30.75,327.2,206,519,0.176,1.18,1,,250,0.5,4,2.06,50,0.65,0.38,90
DDQ Steel,1,60,Circle,30.75,327.2,206,519,0.176,1.18,1,,250,0.5,4,1.73,34,0.65,0.54,90
DDQ Steel,1,70,Circle,30.75,327.2,206,519,0.176,1.18,1,,250,0.5,4,1.51,22,0.65,0.72,90
AA6061-T6 (CHF),1,40,Circle,12,310,276,402,0.09,,1,10,,,1,1.7,14,,0.4,90
AA6061-T6 (IHF),1,40,Circle,12,310,276,402,0.09,,0,1000,500,0.5,,2.15,11,,0.65,90
AA7075-O,1.6,64.5,Circle,16,228,109.7,314,0.13,,1,1000,,0.5,2,1.48,,,1.2,90
DC01 Steel,0.7,20,Circle,28,340,280,619,0.21,1.53,0,,350,,1,,12.5,,,90
DC01 Steel,1,20,Circle,28,340,280,619,0.21,1.53,0,,350,,1,,17.5,,0.6,90
AA1050,0.7,20,Circle,12,125,85,144.6,0.3,,0,,350,,1,,12.5,,,90
AA1050,1,20,Circle,12,125,85,144.6,0.3,,0,,350,,1,,17.5,,0.49,90
AA7075-O,1.6,40,Circle,16,228,109.7,314,0.13,0.61,1,,,,1,1.7,18,,0.8,90
AA5052-H32,1.5,32,Circle,14.36,263.92,196.17,327.633,0.143,0.626,1,3000,0,0.5,1,1.813,13,,0.89,85
AA5052-H32,1.5,29,Circle,14.36,263.92,196.17,327.633,0.143,0.626,1,3000,0,0.5,4,2,14.5,,0.9,84
AA5052-H32,1.5,36,Circle,14.36,263.92,196.17,327.633,0.143,0.626,1,1000,0,0.25,1,1.611,11,0.23,0.943,85
AA5052-H32,1.5,36,Circle,14.36,263.92,196.17,327.633,0.143,0.626,1,2000,0,0.5,1,1.611,11,0.26,1.016,85
AA5052-H32,1.5,36,Circle,14.36,263.92,196.17,327.633,0.143,0.626,1,3000,0,0.75,1,1.611,11,0.25,1.014,85
AA5052-H32,1.5,36,Circle,14.36,263.92,196.17,327.633,0.143,0.626,1,1000,500,0.5,1,1.611,11,0.27,0.991,85
AA5052-H32,1.5,36,Circle,14.36,263.92,196.17,327.633,0.143,0.626,1,2000,500,0.75,1,1.611,11,0.28,0.984,85
AA5052-H32,1.5,36,Circle,14.36,263.92,196.17,327.633,0.143,0.626,1,3000,500,0.25,1,1.611,11,0.19,0.927,85
AA5052-H32,1.5,36,Circle,14.36,263.92,196.17,327.633,0.143,0.626,1,1000,1000,0.75,1,1.611,11,0.25,0.959,85
AA5052-H32,1.5,36,Circle,14.36,263.92,196.17,327.633,0.143,0.626,1,2000,1000,0.25,1,1.611,11,0.19,0.948,85
Aluminium 1050,1.5,36,Circle,42,74.3,27.8,165.3,0.22,0.6,1,3000,1000,0.5,1,1.611,11,0.32,0.96,85
DC04,1,150,Square,38,310,175,530,0.22,1.75,1,1000,200,0.5,1,,,,0.22,80
DC04,1,50,Circle,38,310,175,530,0.22,1.75,1,123.2,280,0.44,5,1.944,20.3,,0.68,85.1
DC04,1,50,Circle,38,310,175,530,0.22,1.75,1,198,450,0.44,5,1.962,20.9,,0.68,85
DC04,1,50,Circle,38,310,175,530,0.22,1.75,1,312.4,710,0.44,5,1.942,19.8,,0.68,85.1
DC04,1,50,Circle,38,310,175,530,0.22,1.75,1,123.2,280,0.44,5,2.004,23.2,,0.55,87.4
DC04,1,50,Circle,38,310,175,530,0.22,1.75,1,198,450,0.44,5,2.004,23.2,,0.55,87
Aluminium 1000 series,1,50,Circle,25,80,33,144.6,0.3,0.62,1,312.4,710,0.44,5,2.006,23.1,,0.55,86.7
Aluminum (unspecified),2,6,Circle,25,80,27.8,144.6,0.3,0.6,0,5,,,1,2,5.2,,,60
Aluminum (unspecified),1,10,Circle,25,80,27.8,144.6,0.3,0.6,0,100,400,0.2,1,3,5.76,,,30
Aluminum (unspecified),1,10,Circle,25,80,27.8,144.6,0.3,0.6,0,100,400,0.4,1,3,5.86,,,30
Aluminum (unspecified),1,10,Circle,25,80,27.8,144.6,0.3,0.6,0,100,400,0.6,1,3,5.95,,,30
Aluminum (unspecified),1,10,Circle,25,80,27.8,144.6,0.3,0.6,0,200,400,0.2,1,3,5.76,,,30
Aluminum (unspecified),1,10,Circle,25,80,27.8,144.6,0.3,0.6,0,200,400,0.4,1,3,5.92,,,30
Aluminum (unspecified),1,10,Circle,25,80,27.8,144.6,0.3,0.6,0,200,400,0.6,1,3,5.98,,,30
Aluminum (unspecified),1,10,Circle,25,80,27.8,144.6,0.3,0.6,0,300,400,0.2,1,3,5.82,,,30
Aluminum (unspecified),1,10,Circle,25,80,27.8,144.6,0.3,0.6,0,300,400,0.4,1,3,5.94,,,30
AA6061-T6,2,180,Square,11.7,356.47,302.45,461.7,0.12,0.77,1,600,100,0.5,1,,,,1.4,45
AA6061-T6,1,43,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,1000,0,0.5,1,1.39,,,,90
AA6061-T6,1,45,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,1000,0,0.5,4,1.33,,,,90
AA6061-T6,1,44,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,1000,0,0.5,5,1.36,,,,90
AA6061-T6,1,46,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,1000,0,0.5,2,1.3,,,,90
AA6061-T6,1,46,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,1000,0,0.5,3,1.3,,,,90
AA6061-T6,1,45,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,1000,0,0.5,1,1.33,,,,90
Aluminium 1050,1.5,34,circle,42,74.3,27.8,165.3,0.22,0.6,1,600,0,0.5,1,0.7058,,1.459,1.15,
Aluminium 1050,1.5,34,circle,42,74.3,27.8,165.3,0.22,0.6,1,900,0,0.5,1,0.7058,,1.229,1.2,
Aluminium 1050,1.5,34,circle,42,74.3,27.8,165.3,0.22,0.6,1,1200,0,0.5,1,0.7058,,1.23,1.25,
Aluminium 1050,1.5,34,circle,42,74.3,27.8,165.3,0.22,0.6,1,1500,0,0.5,1,0.7058,,1.23,1.3,
Aluminium 1050,1.5,34,circle,42,74.3,27.8,165.3,0.22,0.6,1,1800,0,0.5,1,0.7058,,1.23,1.3,
Aluminium 1050,1.5,34,circle,42,74.3,27.8,165.3,0.22,0.6,1,2100,0,0.5,1,0.7058,,1.23,1.3,
Aluminium 1050,1.5,34,circle,42,74.3,27.8,165.3,0.22,0.6,1,300,0,0.5,1,0.7058,,1.25,1.35,
Aluminium 1050,1.5,34,circle,42,74.3,27.8,165.3,0.22,0.6,1,300,0,0.75,1,0.7058,,1.3,1.35,
Aluminium 1050,1.5,34,circle,42,74.3,27.8,165.3,0.22,0.6,1,300,0,1,1,0.7058,,1.4,1.3,
Aluminium 1050,1.5,34,circle,42,74.3,27.8,165.3,0.22,0.6,1,300,0,1.25,1,0.7058,,1.5,1.25,
Aluminium 1050,1.5,34,circle,42,74.3,27.8,165.3,0.22,0.6,1,300,0,1.5,1,0.7058,,1.7,1.2,
AA1050-H111,1,120,Circle,10,120.9,119.9,140,0.04,0.84,1,1000,,0.2,6,1.33,,,,90
